"seller_city","num_sellers","num_orders","avg_review","avg_one_star_rate","avg_delivery_lead_time","num_late_deliveries","avg_late_delivery_rate"
"MOMBUCA","1","33","4.00","0.15","22.92","6","0.18"
"MONTE ALEGRE DO SUL","3","11","4.27","0.00","6.74","1","0.10"
"MONTE ALTO","1","6","3.33","0.17","32.30","2","0.33"
"MONTEIRO LOBATO","1","39","4.69","0.05","15.09","1","0.03"
"MONTENEGRO","2","142","4.51","0.01","10.70","2","0.01"
"MONTES CLAROS","3","6","4.00","0.17","8.34","0","0.00"
"MONTE SIAO","1","247","4.32","0.09","14.21","17","0.07"
"MORRINHOS","3","36","3.94","0.07","12.12","1","0.03"
"MUCAMBO","1","9","3.67","0.11","21.18","0","0.00"
"MUQUI","1","25","4.24","0.08","14.31","3","0.12"
"MURIAE","1","6","4.33","0.17","8.42","0","0.00"
"NATAL","2","34","4.00","0.22","15.43","5","0.15"
"NAVEGANTES","3","128","4.44","0.03","12.59","1","0.01"
"NILOPOLIS","2","45","4.26","0.09","10.95","1","0.02"
"NITEROI","8","81","4.01","0.16","12.35","9","0.12"
"NOVA FRIBURGO","5","82","4.11","0.14","13.72","4","0.05"
"NOVA IGUACU","6","67","4.40","0.14","16.15","7","0.11"
"NOVA LIMA","1","11","4.18","0.09","10.81","0","0.00"
"NOVA ODESSA","2","13","4.16","0.04","7.76","1","0.08"
"NOVA PETROPOLIS","1","8","4.38","0.13","10.28","1","0.13"
"NOVO HAMBURGO","7","135","4.25","0.45","10.41","3","0.02"
"NOVO HORIZONTE","1","31","4.19","0.06","10.22","3","0.10"
"OSASCO","33","556","4.01","0.18","11.76","48","0.09"
"OURO FINO","1","14","4.36","0.07","15.32","1","0.07"
"OURO PRETO","1","16","4.25","0.13","15.09","1","0.06"
"PAICANDU","1","8","4.25","0.13","16.62","0","0.00"
"PALHOCA","9","39","4.00","0.12","10.60","2","0.05"
"PARA DE MINAS","1","6","3.50","0.33","10.28","1","0.20"
"PARAI","1","18","3.78","0.17","12.09","1","0.06"
"PARAIBA DO SUL","1","20","4.30","0.05","11.86","1","0.05"
"PARANAVAI","1","16","4.13","0.13","12.71","1","0.06"
"PARNAMIRIM","1","14","4.79","0.00","13.36","0","0.00"
"PATO BRANCO","2","9","4.44","0.00","8.43","0","0.00"
"PATOS DE MINAS","2","160","4.46","0.04","8.54","5","0.03"
"PAULINIA","4","39","3.92","0.13","13.72","8","0.22"
"PAULO LOPES","2","6","4.67","0.00","13.08","0","0.00"
"PEDERNEIRAS","1","9","3.89","0.11","9.77","0","0.00"
"PEDREGULHO","1","7","4.43","0.00","10.94","0","0.00"
"PEDREIRA","9","626","4.14","0.15","10.54","34","0.06"
"PELOTAS","3","10","4.40","0.00","7.99","0","0.00"
"PENAPOLIS","5","432","4.06","0.06","11.90","36","0.08"
"PETROPOLIS","6","776","4.23","0.23","11.06","74","0.10"
"PILAR DO SUL","1","26","4.00","0.12","11.75","2","0.08"
"PINHAIS","9","162","4.26","0.08","10.20","6","0.04"
"PINHALAO","1","11","4.36","0.09","15.02","0","0.00"
"PIRACANJUBA","1","8","4.38","0.13","11.26","0","0.00"
"PIRACICABA","13","1633","4.12","0.22","10.61","121","0.07"
"PITANGA","2","13","4.38","0.05","8.44","0","0.00"
"POA","1","138","4.31","0.09","8.74","3","0.02"
"POCOS DE CALDAS","4","46","3.91","0.20","9.46","4","0.10"
"POMPEIA","3","25","4.08","0.08","15.92","2","0.08"
"PONTA GROSSA","6","22","4.23","0.08","9.64","0","0.00"
"PONTE NOVA","1","94","4.19","0.10","16.01","11","0.12"
"PORTAO","1","15","3.87","0.20","16.02","0","0.00"
"PORTO ALEGRE","27","719","4.29","0.13","15.49","37","0.05"
"PORTO BELO","2","9","4.89","0.00","7.83","0","0.00"
"PORTO FERREIRA","10","171","3.77","0.21","16.18","28","0.17"
"PORTO SEGURO","2","43","3.83","0.11","14.95","5","0.12"
"PORTO VELHO","1","6","3.83","0.17","14.83","0","0.00"
"PRADOPOLIS","2","162","4.14","0.15","14.04","19","0.12"
